id,tag,building\.id,building\.name
1656034,M-33,213516,Justine Spitalny School
1656035,M-34,213516,Justine Spitalny School
1656036,M-35,213516,Justine Spitalny School
1656037,M-36,213516,Justine Spitalny School
1656038,M-37,213516,Justine Spitalny School
1656039,M-38,213516,Justine Spitalny School
1656040,M-39,213516,Justine Spitalny School
1656041,M-40,213516,Justine Spitalny School
1656042,M-41,213516,Justine Spitalny School
1656043,M-42,213516,Justine Spitalny School
1656044,M-43,213516,Justine Spitalny School
1656045,M-44,213516,Justine Spitalny School
1656046,M-45,213516,Justine Spitalny School
1656047,M-46,213516,Justine Spitalny School
1656048,M-47,213516,Justine Spitalny School
1656049,M-48,213516,Justine Spitalny School
1656050,M-49,213516,Justine Spitalny School
1656051,M-50,213516,Justine Spitalny School
1656052,M-51,213516,Justine Spitalny School
1656053,M-52,213516,Justine Spitalny School
1656054,M-53,213516,Justine Spitalny School
1656055,M-54,213516,Justine Spitalny School
1656056,M-57,213516,Justine Spitalny School
1656057,M-58,213516,Justine Spitalny School
1656058,M-59,213516,Justine Spitalny School
1656059,M-60,213516,Justine Spitalny School
1656060,M-61,213516,Justine Spitalny School
1656061,M-62,213516,Justine Spitalny School
1656062,M-63,213516,Justine Spitalny School
1656063,M-64,213516,Justine Spitalny School
1656064,M-65,213516,Justine Spitalny School
1656065,M-66,213516,Justine Spitalny School
1656066,M-67,213516,Justine Spitalny School
1656067,M-68,213516,Justine Spitalny School
1656068,M-69,213516,Justine Spitalny School
1656069,M-70,213516,Justine Spitalny School
1656070,M-71,213516,Justine Spitalny School
1656071,M-72,213516,Justine Spitalny School
1656073,M-73,213516,Justine Spitalny School
1660792,M-2,213517,Manuel Peña School
1660793,M-3,213517,Manuel Peña School
1660794,M-4,213517,Manuel Peña School
1660795,M-5,213517,Manuel Peña School
1660796,M-6,213517,Manuel Peña School
1660797,M-7,213517,Manuel Peña School
1660798,M-8,213517,Manuel Peña School
1660799,M-9,213517,Manuel Peña School
1660800,M-10,213517,Manuel Peña School
1660801,M-12,213517,Manuel Peña School
1660802,M-13,213517,Manuel Peña School
1660803,M-15,213517,Manuel Peña School
1660804,M-19,213517,Manuel Peña School
1660805,M-22,213517,Manuel Peña School
1660806,M-23,213517,Manuel Peña School
1660807,M-24,213517,Manuel Peña School
1660808,M-25,213517,Manuel Peña School
1660809,M-26,213517,Manuel Peña School
1660810,M-27,213517,Manuel Peña School
1660811,M-28,213517,Manuel Peña School
1660812,M-29,213517,Manuel Peña School
1660813,M-30,213517,Manuel Peña School
1660814,M-31,213517,Manuel Peña School
1660815,M-32,213517,Manuel Peña School
1660816,M-33,213517,Manuel Peña School
1660817,M-34,213517,Manuel Peña School
1660818,M-35,213517,Manuel Peña School
1660819,M-36,213517,Manuel Peña School
1660820,M-38,213517,Manuel Peña School
1660821,M-39,213517,Manuel Peña School
1660822,M-40,213517,Manuel Peña School
1660823,M-41,213517,Manuel Peña School
1660824,M-42,213517,Manuel Peña School
1660825,M-43,213517,Manuel Peña School
1660826,M-44,213517,Manuel Peña School
1660827,M-45,213517,Manuel Peña School
1660828,M-46,213517,Manuel Peña School
1660829,M-47,213517,Manuel Peña School
1660830,M-48,213517,Manuel Peña School
1660831,M-51,213517,Manuel Peña School
1660832,M-54,213517,Manuel Peña School
1660833,M-55,213517,Manuel Peña School
1660834,M-56,213517,Manuel Peña School
1660835,M-57,213517,Manuel Peña School
1660836,M-61,213517,Manuel Peña School
1660837,M-64,213517,Manuel Peña School
1660838,M-65,213517,Manuel Peña School
1660839,M-66,213517,Manuel Peña School
1660840,M-68,213517,Manuel Peña School
1660841,M-69,213517,Manuel Peña School
1660842,M-70,213517,Manuel Peña School
1660843,M-71,213517,Manuel Peña School
1660844,M-72,213517,Manuel Peña School
1660845,M-73,213517,Manuel Peña School
1660846,M-75,213517,Manuel Peña School
1666215,M-3,213523,Sunset School
1666216,M-4,213523,Sunset School
1666217,M-5,213523,Sunset School
1666218,M-7,213523,Sunset School
1666219,M-8,213523,Sunset School
1666220,M-9,213523,Sunset School
1666221,M-10,213523,Sunset School
1666222,M-11,213523,Sunset School
1666223,M-12,213523,Sunset School
1666224,M-13,213523,Sunset School
1666225,M-14,213523,Sunset School
1666226,M-16,213523,Sunset School
1666227,M-18,213523,Sunset School
1666228,M-19,213523,Sunset School
1666229,M-21,213523,Sunset School
1666230,M-22,213523,Sunset School
1666231,M-23,213523,Sunset School
1666232,M-25,213523,Sunset School
1666233,M-26,213523,Sunset School
1666234,M-27,213523,Sunset School
1666235,M-28,213523,Sunset School
1666236,M-29,213523,Sunset School
1666237,M-30,213523,Sunset School
1666238,M-31,213523,Sunset School
1666239,M-32,213523,Sunset School
1666240,M-36,213523,Sunset School
1666241,M-37,213523,Sunset School
1666242,M-38,213523,Sunset School
1666243,M-39,213523,Sunset School
1666244,M-40,213523,Sunset School
1666245,M-41,213523,Sunset School
1666246,M-42,213523,Sunset School
1666247,M-43,213523,Sunset School
1666248,M-48,213523,Sunset School
1666249,M-49,213523,Sunset School
1666250,M-51,213523,Sunset School
1666251,M-52,213523,Sunset School
1666252,M-53,213523,Sunset School
1666253,M-54,213523,Sunset School
1666254,M-55,213523,Sunset School
